node,operon,q_value
node1,PA5553;PA5554;PA5555;PA5556;PA5557;PA5558;PA5559;PA5560;PA5561,0.002227172
node1,PA2967;PA2968;PA2969;PA2970;PA2971,0.004338395
node1,PA3095;PA3096;PA3097;PA3098;PA3099;PA3100;PA3101;PA3102;PA3103,0.004608295
node1,PA4462;PA4463;PA4464;PA4465;PA4466,0.00877193
node1,PA4457;PA4458;PA4459;PA4460;PA4461,0.013186813
node1,PA0969;PA0970;PA0971;PA0972;PA0973;PA0974,0.010964912
node1,PA4142;PA4143;PA4144,0
node1,PA2193;PA2194;PA2195,0.002016129
node1,PA3870;PA3871;PA3872;PA3873;PA3874;PA3875;PA3876;PA3877,0.018181818
node1,PA1581;PA1582;PA1583;PA1584,0.006578947
node1,PA5230;PA5231;PA5232,0
node1,PA2365;PA2366;PA2367;PA2368;PA2369;PA2370;PA2371;PA2372,0.028571429
node1,PA3165;PA3166;PA3167,0
node1,PA3904;PA3905;PA3906;PA3907;PA3908,0.016913319
node1,PA2630;PA2631;PA2632;PA2633,0.006369427
node1,PA2605;PA2606;PA2607;PA2608;PA2609,0.015659954
node1,PA4482;PA4483;PA4484;PA4485;PA4486,0.013274336
node1,PA1555;PA1555.1;PA1556;PA1557,0.006122449
node1,PA3171;PA3172;PA3173,0.007984032
node1,PA0926;PA0927;PA0928,0.008264462
node1,PA2959;PA2960;PA2961;PA2962;PA2963;PA2964;PA2965,0.0373444
node1,PA1547;PA1548;PA1549;PA1550;PA1551,0.022271715
node1,PA5066;PA5067;PA5068;PA5069;PA5070;PA5071,0.031111112
node1,PA1246;PA1247;PA1248,0.010504202
node1,PA1661;PA1662;PA1663,0.006122449
node1,PA1216;PA1217;PA1218;PA1219;PA1220;PA1221,0.032467533
node1,PA2301;PA2302;PA2303;PA2304;PA2305,0.025263159
node1,PA1690;PA1691;PA1692;PA1693;PA1694;PA1695;PA1696;PA1697,0.038135592
node1,PA0607;PA0608;PA0609,0.006160164
node1,PA0681;PA0682;PA0683;PA0684;PA0685;PA0686;PA0687,0.03409091
node1,PA0070;PA0071;PA0072;PA0073;PA0074;PA0075;PA0076;PA0077,0
node1,PA2011;PA2012;PA2013;PA2014;PA2015,0
node1,PA0617;PA0618;PA0619;PA0620;PA0621,0
node1,PA0628;PA0629;PA0630;PA0631;PA0632,0
node1,PA0636;PA0637;PA0638;PA0639;PA0640,0
node1,PA2110;PA2111;PA2112;PA2113;PA2114,0
node1,PA3362;PA3363;PA3364;PA3365;PA3366,0
node1,PA4148;PA4149;PA4150;PA4151;PA4152;PA4153,0
node1,PA3504;PA3505;PA3506;PA3507;PA3508;PA3509;PA3510;PA3511;PA3512;PA3513;PA3514,0
node1,PA5091;PA5092;PA5093;PA5094;PA5095;PA5096,0
node1,PA2247;PA2248;PA2249;PA2250,0
node1,PA4222;PA4223;PA4224;PA4225;PA4226,0
node1,PA0744;PA0745;PA0746;PA0747,0
node1,PA2552;PA2553;PA2554;PA2555,0
node1,PA0095;PA0096;PA0097;PA0098;PA0099;PA0100;PA0101,0.010714286
node1,PA3498;PA3499;PA3500;PA3501;PA3502;PA3503,0.002024292
node1,PA1070;PA1071;PA1072;PA1073,0
node1,PA4501;PA4502;PA4503;PA4504;PA4505;PA4506,0.003558719
node1,PA3151;PA3152;PA3153;PA3154;PA3155;PA3156;PA3157;PA3158,0.005434783
node1,PA0643;PA0644;PA0645,0
node1,PA2160;PA2161;PA2162;PA2163;PA2164;PA2165,0.009328358
node1,PA2512;PA2513;PA2514,0
node1,PA0794;PA0795;PA0796;PA0797,0.001976285
node1,PA1632;PA1633;PA1634;PA1635,0.001883239
node1,PA0625;PA0626;PA0627,0
node1,PA0614;PA0615;PA0616,0
node1,PA2507;PA2508;PA2509,0.001941748
node1,PA0622;PA0623;PA0624,0
node1,PA5185;PA5186;PA5187;PA5188,0
node1,PA1946;PA1947;PA1948;PA1949;PA1950,0.011406845
node1,PA5097;PA5098;PA5099,0
node1,PA0633;PA0634;PA0635,0
node1,PA2007;PA2008;PA2009,0
node1,PA4228;PA4229;PA4230;PA4231,0
node1,PA5352;PA5353;PA5354;PA5355,0.009469697
node1,PA4023;PA4024;PA4025,0.003809524
node1,PA0086;PA0087;PA0088;PA0089;PA0090;PA0091,0.02247191
node1,PA0646;PA0647;PA0648,0.001869159
node1,PA2493;PA2494;PA2495,0.007736944
node1,PA4191;PA4192;PA4193;PA4194;PA4195,0.01734104
node1,PA4975;PA4976;PA4977;PA4978;PA4979;PA4980,0.02389706
node1,PA0078;PA0079;PA0080;PA0081,0.012915129
node1,PA3415;PA3416;PA3417,0.005870841
node1,PA1931;PA1932;PA1933,0.005780347
node1,PA4582;PA4583;PA4584;PA4585,0.020325202
node1,PA3142;PA3143;PA3144,0.016513761
node1,PA0297;PA0298;PA0299,0.016359918
node1,PA1067;PA1068;PA1069,0.009578544
node1,PA0092;PA0093;PA0094,0.011450382
node1,PA5152;PA5153;PA5154;PA5155,0.04106776
node1,PA3441;PA3442;PA3443;PA3444;PA3445,0.034351144
node1,PA0226;PA0227;PA0228,0.025641026
node1,PA5521;PA5522;PA5523,0.024340771
node1,PA4822;PA4823;PA4824,0.02238806
node1,PA2148;PA2149;PA2150,0.020912547
node1,PA3281;PA3282;PA3283;PA3284,0.023109244
node2,PA3372;PA3373;PA3374;PA3375;PA3376;PA3377;PA3378;PA3379;PA3380;PA3381;PA3382;PA3383;PA3384,0
node2,PA3552;PA3553;PA3554;PA3555;PA3556;PA3557;PA3558;PA3559,0
node2,PA0681;PA0682;PA0683;PA0684;PA0685;PA0686;PA0687,0
node2,PA0086;PA0087;PA0088;PA0089;PA0090;PA0091,0
node2,PA4773;PA4774;PA4775;PA4776;PA4777,0
node2,PA2231;PA2232;PA2233;PA2234;PA2235;PA2236;PA2237;PA2238;PA2239;PA2240;PA2241,0
node2,PA0070;PA0071;PA0072;PA0073;PA0074;PA0075;PA0076;PA0077,0
node2,PA1664;PA1665;PA1666;PA1667;PA1668;PA1669;PA1670;PA1671,0.002145923
node2,PA4317;PA4318;PA4319;PA4320;PA4321;PA4322;PA4323,0
node2,PA0095;PA0096;PA0097;PA0098;PA0099;PA0100;PA0101,0.002118644
node2,PA0696;PA0697;PA0698;PA0699;PA0700;PA0701,0.002079002
node2,PA0509;PA0510;PA0511;PA0512;PA0513;PA0514;PA0515;PA0516;PA0517;PA0518;PA0519,0.002227172
node2,PA0996;PA0997;PA0998;PA0999;PA1000,0
node2,PA4406;PA4407;PA4408;PA4409;PA4410;PA4411;PA4412;PA4413;PA4414;PA4415;PA4416;PA4417;PA4418;PA4419;PA4420;PA4421,0.00660793
node2,PA2536;PA2537;PA2538;PA2539;PA2540,0.003976143
node2,PA4191;PA4192;PA4193;PA4194;PA4195,0.004123712
node2,PA2259;PA2260;PA2261;PA2262;PA2263,0.004081633
node2,PA5365;PA5366;PA5367;PA5368,0
node2,PA0733;PA0734;PA0735;PA0736,0.002008032
node2,PA3391;PA3392;PA3393;PA3394;PA3395;PA3396,0.004040404
node2,PA0078;PA0079;PA0080;PA0081,0
node2,PA1806;PA1807;PA1808;PA1809;PA1810;PA1811,0.010373444
node2,PA2725;PA2726;PA2727;PA2728;PA2729,0.002202643
node2,PA3888;PA3889;PA3890;PA3891,0.006122449
node2,PA2264;PA2265;PA2266,0
node2,PA0082;PA0083;PA0084,0
node2,PA3904;PA3905;PA3906;PA3907;PA3908,0.014344262
node2,PA3181;PA3182;PA3183,0
node2,PA0260;PA0261;PA0262,0
node2,PA3281;PA3282;PA3283;PA3284,0.010183299
node2,PA0692;PA0693;PA0694;PA0695,0.008403362
node2,PA4487;PA4488;PA4489;PA4490;PA4491;PA4492,0.018404908
node2,PA1216;PA1217;PA1218;PA1219;PA1220;PA1221,0.03206413
node2,PA0926;PA0927;PA0928,0.004415011
node2,PA0568;PA0569;PA0570;PA0571,0.02396514
node2,PA4651;PA4652;PA4653,0.008438818
node2,PA3058;PA3059;PA3060;PA3061;PA3062;PA3063;PA3064,0.040685225
node2,PA4658;PA4659;PA4660,0.017441861
node2,PA5360;PA5361;PA5362,0.003883495
node2,PA1656;PA1657;PA1658;PA1659,0.02631579
node2,PA4299;PA4300;PA4301;PA4302;PA4303;PA4304;PA4305,0.033402923
node2,PA1419;PA1420;PA1421,0.01002004
node2,PA4648;PA4649;PA4650,0.023758098
node2,PA3292;PA3293;PA3294,0.006423983
node2,PA1698;PA1699;PA1700;PA1701;PA1702;PA1703;PA1704;PA1705;PA1706;PA1707;PA1708;PA1709,0
node2,PA1714;PA1715;PA1716;PA1717;PA1718;PA1719;PA1720;PA1721;PA1722;PA1723;PA1724;PA1725,0
node2,PA5447;PA5448;PA5449;PA5450;PA5451;PA5452;PA5453;PA5454,0
node2,PA1690;PA1691;PA1692;PA1693;PA1694;PA1695;PA1696;PA1697,0
node2,PA0208;PA0209;PA0210;PA0211;PA0212;PA0213;PA0214,0
node2,PA4222;PA4223;PA4224;PA4225;PA4226,0
node2,PA0617;PA0618;PA0619;PA0620;PA0621,0
node2,PA4467;PA4468;PA4469;PA4470;PA4471,0
node2,PA4228;PA4229;PA4230;PA4231,0
node2,PA1271;PA1272;PA1273;PA1274;PA1275;PA1276;PA1277;PA1278;PA1279;PA1280;PA1281,0.003752345
node2,PA5037;PA5038;PA5039;PA5040;PA5041;PA5042;PA5043;PA5044,0.003868472
node2,PA2992;PA2993;PA2994;PA2995;PA2996;PA2997;PA2998;PA2999,0.001865672
node2,PA1946;PA1947;PA1948;PA1949;PA1950,0.001926782
node2,PA0411;PA0412;PA0413;PA0414;PA0415;PA0416,0.003669725
node2,PA1477;PA1478;PA1479;PA1480;PA1481;PA1482;PA1483,0.005565863
node2,PA5091;PA5092;PA5093;PA5094;PA5095;PA5096,0.005952381
node2,PA4941;PA4942;PA4943;PA4944;PA4945;PA4946;PA4947;PA4948;PA4949,0.015355086
node2,PA4705;PA4706;PA4707;PA4708;PA4709,0.003816794
node2,PA2512;PA2513;PA2514,0
node2,PA2903;PA2904;PA2905;PA2906,0.003649635
node2,PA0751;PA0752;PA0753;PA0754;PA0755,0.005976096
node2,PA4908;PA4909;PA4910;PA4911;PA4912,0.011363637
node2,PA0622;PA0623;PA0624,0
node2,PA0625;PA0626;PA0627,0
node2,PA2411;PA2412;PA2413,0.001964637
node2,PA2886;PA2887;PA2888;PA2889;PA2890;PA2891;PA2892,0.022821577
node2,PA5221;PA5222;PA5223;PA5224;PA5225,0.013409962
node2,PA2399;PA2400;PA2402,0
node2,PA5006;PA5007;PA5008;PA5009;PA5010;PA5011;PA5012;PA5013;PA5014,0.015209125
node2,PA3186;PA3187;PA3188;PA3189;PA3190,0.015503876
node2,PA2564;PA2565;PA2566,0
node2,PA0614;PA0615;PA0616,0
node2,PA1070;PA1071;PA1072;PA1073,0.001904762
node2,PA4863;PA4864;PA4865;PA4866;PA4867;PA4868,0.014953272
node2,PA0628;PA0629;PA0630;PA0631;PA0632,0.022857143
node2,PA4501;PA4502;PA4503;PA4504;PA4505;PA4506,0.02952756
node2,PA4205;PA4206;PA4207;PA4208,0.016528925
node2,PA4932;PA4933;PA4934;PA4935,0.015810277
node2,PA2393;PA2394;PA2395,0.003838772
node2,PA2911;PA2912;PA2913;PA2914,0.011070111
node2,PA4754;PA4755;PA4756;PA4757;PA4758,0.0317757
node2,PA3504;PA3505;PA3506;PA3507;PA3508;PA3509;PA3510;PA3511;PA3512;PA3513;PA3514,0.030710172
node2,PA5097;PA5098;PA5099,0.004065041
node2,PA2011;PA2012;PA2013;PA2014;PA2015,0.035849057
node2,PA0744;PA0745;PA0746;PA0747,0.026666667
node2,PA4371;PA4372;PA4373,0.013861386
node2,PA4603;PA4604;PA4605;PA4606,0.023255814
node2,PA1198;PA1199;PA1200,0.018621974
node2,PA5455;PA5456;PA5457;PA5458;PA5459,0.037924152
node2,PA2403;PA2404;PA2405;PA2406,0.023529412
node2,PA4759;PA4760;PA4761;PA4762,0.039106146
node3,PA3372;PA3373;PA3374;PA3375;PA3376;PA3377;PA3378;PA3379;PA3380;PA3381;PA3382;PA3383;PA3384,0
node3,PA3095;PA3096;PA3097;PA3098;PA3099;PA3100;PA3101;PA3102;PA3103,0
node3,PA1714;PA1715;PA1716;PA1717;PA1718;PA1719;PA1720;PA1721;PA1722;PA1723;PA1724;PA1725,0
node3,PA3327;PA3328;PA3329;PA3330;PA3331;PA3332;PA3333;PA3334,0
node3,PA3151;PA3152;PA3153;PA3154;PA3155;PA3156;PA3157;PA3158,0
node3,PA3145;PA3146;PA3147;PA3148;PA3149;PA3150,0
node3,PA4467;PA4468;PA4469;PA4470;PA4471,0
node3,PA5037;PA5038;PA5039;PA5040;PA5041;PA5042;PA5043;PA5044,0
node3,PA1698;PA1699;PA1700;PA1701;PA1702;PA1703;PA1704;PA1705;PA1706;PA1707;PA1708;PA1709,0.008438818
node3,PA5365;PA5366;PA5367;PA5368,0
node3,PA3552;PA3553;PA3554;PA3555;PA3556;PA3557;PA3558;PA3559,0.002079002
node3,PA0696;PA0697;PA0698;PA0699;PA0700;PA0701,0.002272727
node3,PA0896;PA0897;PA0898;PA0899;PA0900;PA0901,0.00212766
node3,PA1317;PA1318;PA1319;PA1320;PA1321,0
node3,PA3186;PA3187;PA3188;PA3189;PA3190,0.002020202
node3,PA3703;PA3704;PA3705;PA3706;PA3707;PA3708,0.004065041
node3,PA0681;PA0682;PA0683;PA0684;PA0685;PA0686;PA0687,0.002145923
node3,PA2160;PA2161;PA2162;PA2163;PA2164;PA2165,0.008333334
node3,PA2154;PA2155;PA2156;PA2157;PA2158;PA2159,0.004048583
node3,PA0070;PA0071;PA0072;PA0073;PA0074;PA0075;PA0076;PA0077,0.004264392
node3,PA1060;PA1061;PA1062;PA1063,0.0041841
node3,PA1985;PA1986;PA1987;PA1988;PA1989;PA1990,0.022267206
node3,PA3181;PA3182;PA3183,0
node3,PA3970;PA3971;PA3972;PA3973,0.010121457
node3,PA5066;PA5067;PA5068;PA5069;PA5070;PA5071,0.002118644
node3,PA2399;PA2400;PA2402,0
node3,PA0493;PA0494;PA0495;PA0496,0.010309278
node3,PA4705;PA4706;PA4707;PA4708;PA4709,0.002159827
node3,PA2959;PA2960;PA2961;PA2962;PA2963;PA2964;PA2965,0.008752735
node3,PA1246;PA1247;PA1248,0.004166667
node3,PA1081;PA1082;PA1083;PA1084;PA1085;PA1086;PA1087,0.014705882
node3,PA0500;PA0501;PA0502;PA0503;PA0504,0.016064256
node3,PA4228;PA4229;PA4230;PA4231,0.019723866
node3,PA4658;PA4659;PA4660,0
node3,PA4773;PA4774;PA4775;PA4776;PA4777,0.014989293
node3,PA3941;PA3942;PA3943;PA3944;PA3945,0.026104419
node3,PA2411;PA2412;PA2413,0.013944224
node3,PA1160;PA1161;PA1162,0.01713062
node3,PA3142;PA3143;PA3144,0.004032258
node3,PA4222;PA4223;PA4224;PA4225;PA4226,0.012145749
node3,PA0082;PA0083;PA0084,0.008316008
node3,PA0026;PA0027;PA0028,0.008316008
node3,PA2148;PA2149;PA2150,0.006134969
node3,PA2611;PA2612;PA2613;PA2614;PA2615,0.021321962
node3,PA3542;PA3543;PA3544;PA3545;PA3546;PA3547,0.03532009
node3,PA0692;PA0693;PA0694;PA0695,0.024948025
node3,PA2259;PA2260;PA2261;PA2262;PA2263,0.043763675
node3,PA2389;PA2390;PA2391,0.012526096
node3,PA4667;PA4668;PA4669,0.016701462
node3,PA3459;PA3460;PA3461,0.03846154
node3,PA1710;PA1711;PA1712,0.019880716
node3,PA2103;PA2104;PA2105;PA2106,0.04696673
node3,PA4250;PA4251;PA4252;PA4253;PA4254;PA4255;PA4256;PA4257;PA4258;PA4259;PA4260;PA4261;PA4262;PA4263;PA4264,0
node3,PA0509;PA0510;PA0511;PA0512;PA0513;PA0514;PA0515;PA0516;PA0517;PA0518;PA0519,0
node3,PA2637;PA2638;PA2639;PA2640;PA2641;PA2642;PA2643;PA2644;PA2645;PA2646;PA2647;PA2648;PA2649,0
node3,PA1891;PA1892;PA1893;PA1894;PA1895;PA1896;PA1897,0
node3,PA3391;PA3392;PA3393;PA3394;PA3395;PA3396,0
node3,PA4242;PA4243;PA4244;PA4245;PA4246;PA4247;PA4248;PA4249,0
node3,PA5553;PA5554;PA5555;PA5556;PA5557;PA5558;PA5559;PA5560;PA5561,0
node3,PA3515;PA3516;PA3517;PA3518;PA3519,0
node3,PA4148;PA4149;PA4150;PA4151;PA4152;PA4153,0
node3,PA2365;PA2366;PA2367;PA2368;PA2369;PA2370;PA2371;PA2372,0
node3,PA2992;PA2993;PA2994;PA2995;PA2996;PA2997;PA2998;PA2999,0
node3,PA2886;PA2887;PA2888;PA2889;PA2890;PA2891;PA2892,0
node3,PA2084;PA2085;PA2086;PA2087;PA2088,0.001855288
node3,PA4427;PA4428;PA4429;PA4430;PA4431,0.00189394
node3,PA1513;PA1514;PA1515;PA1516;PA1517,0.001980198
node3,PA1477;PA1478;PA1479;PA1480;PA1481;PA1482;PA1483,0.001988072
node3,PA3441;PA3442;PA3443;PA3444;PA3445,0.003802281
node3,PA3935;PA3936;PA3937;PA3938,0
node3,PA4237;PA4238;PA4239;PA4240;PA4241,0.007561437
node3,PA2911;PA2912;PA2913;PA2914,0
node3,PA2512;PA2513;PA2514,0
node3,PA1555;PA1555.1;PA1556;PA1557,0
node3,PA2327;PA2328;PA2329;PA2330;PA2331,0.003875969
node3,PA1922;PA1923;PA1924;PA1925,0.001934236
node3,PA1861;PA1862;PA1863,0
node3,PA3646;PA3647;PA3648;PA3649;PA3650;PA3651;PA3652;PA3653;PA3654,0.02173913
node3,PA5562;PA5563;PA5564;PA5565,0.011560693
node3,PA5539;PA5540;PA5541,0
node3,PA1664;PA1665;PA1666;PA1667;PA1668;PA1669;PA1670;PA1671,0.017208412
node3,PA1552;PA1552.1;PA1553;PA1554,0
node3,PA5053;PA5054;PA5055,0.001841621
node3,PA2967;PA2968;PA2969;PA2970;PA2971,0.022916667
node3,PA3669;PA3670;PA3671;PA3672,0.007843138
node3,PA1581;PA1582;PA1583;PA1584,0.00744879
node3,PA1172;PA1173;PA1174;PA1175;PA1176;PA1177,0.018939395
node3,PA5091;PA5092;PA5093;PA5094;PA5095;PA5096,0.020992367
node3,PA1547;PA1548;PA1549;PA1550;PA1551,0.015444015
node3,PA2307;PA2308;PA2309;PA2310,0.006072875
node3,PA4863;PA4864;PA4865;PA4866;PA4867;PA4868,0.009940358
node3,PA4932;PA4933;PA4934;PA4935,0.01369863
node3,PA4273;PA4274;PA4275;PA4276,0.011695907
node3,PA3742;PA3743;PA3744;PA3745,0.019305019
node3,PA5074;PA5075;PA5076,0.004056795
node3,PA1271;PA1272;PA1273;PA1274;PA1275;PA1276;PA1277;PA1278;PA1279;PA1280;PA1281,0.032380953
node3,PA4265;PA4266;PA4267,0
node3,PA0520;PA0521;PA0522,0.009560229
node3,PA3521;PA3522;PA3523,0.01171875
node4,PA4467;PA4468;PA4469;PA4470;PA4471,0
node4,PA0617;PA0618;PA0619;PA0620;PA0621,0
node4,PA0509;PA0510;PA0511;PA0512;PA0513;PA0514;PA0515;PA0516;PA0517;PA0518;PA0519,0.003883495
node4,PA0628;PA0629;PA0630;PA0631;PA0632,0
node4,PA4228;PA4229;PA4230;PA4231,0
node4,PA4222;PA4223;PA4224;PA4225;PA4226,0.005758158
node4,PA2411;PA2412;PA2413,0
node4,PA1458;PA1459;PA1460;PA1461;PA1462,0.004016064
node4,PA5402;PA5403;PA5404;PA5405;PA5406;PA5407,0.007984032
node4,PA2393;PA2394;PA2395,0
node4,PA3391;PA3392;PA3393;PA3394;PA3395;PA3396,0.007920792
node4,PA0625;PA0626;PA0627,0
node4,PA0622;PA0623;PA0624,0
node4,PA0614;PA0615;PA0616,0
node4,PA3515;PA3516;PA3517;PA3518;PA3519,0.008080808
node4,PA1714;PA1715;PA1716;PA1717;PA1718;PA1719;PA1720;PA1721;PA1722;PA1723;PA1724;PA1725,0.007827789
node4,PA0411;PA0412;PA0413;PA0414;PA0415;PA0416,0.013461539
node4,PA1861;PA1862;PA1863,0.002061856
node4,PA0821;PA0822;PA0823;PA0824,0.008385744
node4,PA3415;PA3416;PA3417,0
node4,PA3542;PA3543;PA3544;PA3545;PA3546;PA3547,0.012048192
node4,PA0646;PA0647;PA0648,0
node4,PA2399;PA2400;PA2402,0
node4,PA5499;PA5500;PA5501,0.00203666
node4,PA4371;PA4372;PA4373,0
node4,PA0636;PA0637;PA0638;PA0639;PA0640,0.015748031
node4,PA2911;PA2912;PA2913;PA2914,0.011650485
node4,PA0523;PA0524;PA0525,0.006355932
node4,PA4705;PA4706;PA4707;PA4708;PA4709,0.026871402
node4,PA0596;PA0597;PA0598,0.017578125
node4,PA5037;PA5038;PA5039;PA5040;PA5041;PA5042;PA5043;PA5044,0.03726708
node4,PA2493;PA2494;PA2495,0.014198783
node4,PA3351;PA3352;PA3353,0.014314928
node4,PA2389;PA2390;PA2391,0.015779093
node4,PA1081;PA1082;PA1083;PA1084;PA1085;PA1086;PA1087,0.039447732
node4,PA4550;PA4551;PA4552;PA4553,0.032818533
node4,PA5539;PA5540;PA5541,0.016161617
node4,PA0633;PA0634;PA0635,0.015086207
node4,PA3552;PA3553;PA3554;PA3555;PA3556;PA3557;PA3558;PA3559,0
node4,PA3327;PA3328;PA3329;PA3330;PA3331;PA3332;PA3333;PA3334,0
node4,PA2637;PA2638;PA2639;PA2640;PA2641;PA2642;PA2643;PA2644;PA2645;PA2646;PA2647;PA2648;PA2649,0
node4,PA0086;PA0087;PA0088;PA0089;PA0090;PA0091,0
node4,PA1216;PA1217;PA1218;PA1219;PA1220;PA1221,0
node4,PA1664;PA1665;PA1666;PA1667;PA1668;PA1669;PA1670;PA1671,0
node4,PA2110;PA2111;PA2112;PA2113;PA2114,0
node4,PA2011;PA2012;PA2013;PA2014;PA2015,0
node4,PA0996;PA0997;PA0998;PA0999;PA1000,0
node4,PA1900;PA1901;PA1902;PA1903;PA1904;PA1905,0
node4,PA0070;PA0071;PA0072;PA0073;PA0074;PA0075;PA0076;PA0077,0
node4,PA1020;PA1021;PA1022;PA1023;PA1024;PA1025,0
node4,PA2536;PA2537;PA2538;PA2539;PA2540,0
node4,PA1985;PA1986;PA1987;PA1988;PA1989;PA1990,0.002105263
node4,PA2154;PA2155;PA2156;PA2157;PA2158;PA2159,0.002008032
node4,PA4773;PA4774;PA4775;PA4776;PA4777,0
node4,PA3058;PA3059;PA3060;PA3061;PA3062;PA3063;PA3064,0.002040816
node4,PA2301;PA2302;PA2303;PA2304;PA2305,0.002118644
node4,PA4501;PA4502;PA4503;PA4504;PA4505;PA4506,0
node4,PA1211;PA1212;PA1213;PA1214;PA1215,0
node4,PA3362;PA3363;PA3364;PA3365;PA3366,0.001937985
node4,PA2160;PA2161;PA2162;PA2163;PA2164;PA2165,0.002008032
node4,PA1632;PA1633;PA1634;PA1635,0
node4,PA4205;PA4206;PA4207;PA4208,0
node4,PA1656;PA1657;PA1658;PA1659,0
node4,PA2247;PA2248;PA2249;PA2250,0
node4,PA0095;PA0096;PA0097;PA0098;PA0099;PA0100;PA0101,0.006048387
node4,PA1891;PA1892;PA1893;PA1894;PA1895;PA1896;PA1897,0.008298756
node4,PA2512;PA2513;PA2514,0
node4,PA2066;PA2067;PA2068;PA2069,0
node4,PA1661;PA1662;PA1663,0.003937008
node4,PA4810;PA4811;PA4812,0
node4,PA2327;PA2328;PA2329;PA2330;PA2331,0.016632017
node4,PA2507;PA2508;PA2509,0
node4,PA0493;PA0494;PA0495;PA0496,0.001949318
node4,PA2292;PA2293;PA2294;PA2295;PA2296,0.021359224
node4,PA5506;PA5507;PA5508,0.001984127
node4,PA2354;PA2355;PA2356;PA2357,0.007905139
node4,PA2193;PA2194;PA2195,0
node4,PA0226;PA0227;PA0228,0.002079002
node4,PA3888;PA3889;PA3890;PA3891,0.008080808
node4,PA4462;PA4463;PA4464;PA4465;PA4466,0.02173913
node4,PA0082;PA0083;PA0084,0.001996008
node4,PA0208;PA0209;PA0210;PA0211;PA0212;PA0213;PA0214,0.024952015
node4,PA2552;PA2553;PA2554;PA2555,0.007952286
node4,PA0229;PA0230;PA0231;PA0232,0.007952286
node4,PA2515;PA2516;PA2517;PA2518,0.02004008
node4,PA2346;PA2347;PA2348;PA2349;PA2350;PA2351,0.026819924
node4,PA3191;PA3192;PA3193,0.019157087
node4,PA3560;PA3561;PA3562,0.006
node4,PA0794;PA0795;PA0796;PA0797,0.024691358
node4,PA1946;PA1947;PA1948;PA1949;PA1950,0.03726708
node4,PA0751;PA0752;PA0753;PA0754;PA0755,0.03125
node4,PA2725;PA2726;PA2727;PA2728;PA2729,0.025096525
node4,PA0078;PA0079;PA0080;PA0081,0.02811245
node5,PA4250;PA4251;PA4252;PA4253;PA4254;PA4255;PA4256;PA4257;PA4258;PA4259;PA4260;PA4261;PA4262;PA4263;PA4264,0
node5,PA4242;PA4243;PA4244;PA4245;PA4246;PA4247;PA4248;PA4249,0
node5,PA2738;PA2739;PA2740;PA2741;PA2742;PA2743;PA2744,0
node5,PA4237;PA4238;PA4239;PA4240;PA4241,0
node5,PA0208;PA0209;PA0210;PA0211;PA0212;PA0213;PA0214,0
node5,PA0617;PA0618;PA0619;PA0620;PA0621,0.004024145
node5,PA0996;PA0997;PA0998;PA0999;PA1000,0.005952381
node5,PA5276;PA5277;PA5278;PA5279;PA5280;PA5281,0.012295082
node5,PA5553;PA5554;PA5555;PA5556;PA5557;PA5558;PA5559;PA5560;PA5561,0.00407332
node5,PA3808;PA3809;PA3810;PA3811;PA3812;PA3813;PA3814;PA3815,0.005628518
node5,PA0500;PA0501;PA0502;PA0503;PA0504,0.001992032
node5,PA4265;PA4266;PA4267,0
node5,PA0095;PA0096;PA0097;PA0098;PA0099;PA0100;PA0101,0.01183432
